Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
17000,26-Jun-2025,45.0,0.0,0.0,0,0.0,5540.0,0.0,0.0,1650,0,225,5211.25,0,0.0,22397.2,2025-03-14,09-17-26
17000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,22397.2,2025-03-14,09-17-26
17000,24-Dec-2025,9.333333333333334,0.0,0.0,0,0.0,7010.0,0.0,0.0,0,0,0,0.0,0,0.0,22397.2,2025-03-14,09-17-26
18000,27-Mar-2025,6268.666666666667,-4.0,-0.0637687320650441,40,0.0,4431.05,-77.25,-1.7135061996761527,3900,4425,75,4413.75,75,4426.55,22397.2,2025-03-14,09-17-26
18000,26-Jun-2025,339.3333333333333,16.0,4.948453608247423,27,0.0,4668.95,-91.94999999999982,-1.9313575164359644,2475,375,75,4659.05,75,4704.1,22397.2,2025-03-14,09-17-26
18000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,22397.2,2025-03-14,09-17-26
18000,24-Dec-2025,126.0,0.0,0.0,3,0.0,5464.0,-236.0,-4.140350877192982,225,0,75,5066.25,0,0.0,22397.2,2025-03-14,09-17-26
19000,27-Mar-2025,1356.3333333333333,-18.0,-1.3097259277225322,46,0.0,3432.15,-82.84999999999991,-2.3570412517780914,3975,5775,75,3419.05,75,3431.5,22397.2,2025-03-14,09-17-26
19000,26-Jun-2025,1708.0,5.0,0.29359953024075164,30,0.0,3740.6,-61.20000000000027,-1.609763796096593,450,900,75,3719.6,75,3750.8,22397.2,2025-03-14,09-17-26
19000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,22397.2,2025-03-14,09-17-26
19000,24-Dec-2025,93.66666666666667,1.0,1.079136690647482,2,0.0,4110.0,37.84999999999991,0.929484424689658,525,0,75,4100.0,0,0.0,22397.2,2025-03-14,09-17-26
19500,24-Dec-2025,16.333333333333332,0.0,0.0,0,0.0,4100.0,0.0,0.0,0,0,0,0.0,0,0.0,22397.2,2025-03-14,09-17-26
20000,27-Mar-2025,8037.666666666667,14.0,0.1744838187030036,584,0.0,2432.0,-90.30000000000018,-3.580065812948506,4200,6750,225,2421.9,750,2432.0,22397.2,2025-03-14,09-17-26
20000,26-Jun-2025,1493.0,81.0,5.736543909348442,255,0.0,2785.55,-81.89999999999964,-2.8561962719489316,3375,1200,75,2785.0,300,2813.65,22397.2,2025-03-14,09-17-26
20000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,22397.2,2025-03-14,09-17-26
